time, rPosX, rPosY, rPosZ, rRotX, rRotY, rRotZ, rRotW
5.029569625854492,-0.135340706,0.131581366,0.504299104,2.45E-05,6.66E-05,0.984807134,0.173651695
5.124269723892212,-0.135340706,0.131581381,0.504299104,2.46E-05,6.66E-05,0.984807193,0.173651502
5.202679634094238,-0.135340706,0.131581381,0.504299104,2.46E-05,6.66E-05,0.984807193,0.173651218
5.271509885787964,-0.135340706,0.131581336,0.504299104,2.48E-05,6.65E-05,0.984807253,0.173651144
5.3466997146606445,-0.135340691,0.131581336,0.504299104,2.49E-05,6.64E-05,0.984807193,0.173651397
5.436369895935059,-0.135340706,0.131581351,0.504299104,2.46E-05,6.66E-05,0.984807074,0.173652098
5.523869752883911,-0.135340706,0.131581351,0.504299104,2.45E-05,6.66E-05,0.984807074,0.173652202
5.596859693527222,-0.135340706,0.131581351,0.504299104,2.45E-05,6.66E-05,0.984807014,0.173652545
5.6750898361206055,-0.135340706,0.131581351,0.504299104,2.44E-05,6.68E-05,0.984807014,0.173652485
5.75262975692749,-0.135340706,0.131581351,0.504299104,2.45E-05,6.68E-05,0.984807014,0.173652545
5.851729869842529,-0.135340706,0.131581351,0.504299104,2.43E-05,6.66E-05,0.984807074,0.173652127
5.924889802932739,-0.13534072,0.131581351,0.504299104,2.43E-05,6.65E-05,0.984807014,0.173652291
5.992799997329712,-0.135340706,0.131581336,0.504299104,2.44E-05,6.67E-05,0.984807074,0.173652083
6.063249826431274,-0.135340706,0.131581336,0.504299104,2.42E-05,6.65E-05,0.984807193,0.173651472
6.133009910583496,-0.135340706,0.131581321,0.504299104,2.43E-05,6.62E-05,0.984807193,0.173651382
6.2066895961761475,-0.13534072,0.131581321,0.504299104,2.42E-05,6.60E-05,0.984807253,0.173651114
6.358139753341675,-0.13534072,0.131581321,0.504299104,2.43E-05,6.62E-05,0.984807134,0.173651636
6.435919761657715,-0.13534072,0.131581321,0.504299104,2.43E-05,6.61E-05,0.984807193,0.173651367
6.515539884567261,-0.13534072,0.131581321,0.504299104,2.43E-05,6.61E-05,0.984807193,0.173651233
6.581859827041626,-0.13534072,0.131581321,0.504299104,2.45E-05,6.61E-05,0.984807253,0.173651159
6.649569749832153,-0.135340735,0.131581321,0.504299104,2.46E-05,6.61E-05,0.984807253,0.173651189
6.720739841461182,-0.13534072,0.131581292,0.504299104,2.44E-05,6.57E-05,0.984807193,0.173651323
6.7851197719573975,-0.13534075,0.131581262,0.504299104,2.43E-05,6.55E-05,0.984807193,0.173651263
6.852519750595093,-0.135340735,0.131581292,0.504299104,2.41E-05,6.55E-05,0.984807312,0.173650846
6.925339698791504,-0.13534072,0.131581292,0.504299104,2.41E-05,6.55E-05,0.984807253,0.173650905
6.990419864654541,-0.13534072,0.131581306,0.504299104,2.41E-05,6.56E-05,0.984807253,0.173651099
7.06391978263855,-0.13534072,0.131581321,0.504299104,2.36E-05,6.59E-05,0.984807193,0.173651472
7.132469654083252,-0.135340706,0.131581306,0.504299104,2.35E-05,6.58E-05,0.984807253,0.173651055
7.210619688034058,-0.135340706,0.131581306,0.504299104,2.39E-05,6.58E-05,0.984807312,0.173650831
7.277669668197632,-0.135340706,0.131581306,0.504299104,2.39E-05,6.61E-05,0.984807253,0.173650965
7.356159925460815,-0.135340706,0.131581306,0.504299104,2.39E-05,6.62E-05,0.984807253,0.173651114
7.466909885406494,-0.135340706,0.131581292,0.504299104,2.40E-05,6.60E-05,0.984807312,0.173650786
7.5542497634887695,-0.135340676,0.131581277,0.504299104,2.38E-05,6.62E-05,0.984807372,0.173650593
7.621639728546143,-0.135340676,0.131581292,0.504299104,2.39E-05,6.63E-05,0.984807312,0.173650682
7.706589937210083,-0.135340676,0.131581292,0.504299104,2.37E-05,6.64E-05,0.984807372,0.173650518
7.778339624404907,-0.135340691,0.131581321,0.504299104,2.37E-05,6.63E-05,0.984807312,0.173650771
7.853339672088623,-0.135340691,0.131581321,0.504299104,2.37E-05,6.63E-05,0.984807372,0.173650607
7.924469709396362,-0.135340691,0.131581336,0.504299104,2.34E-05,6.64E-05,0.984807312,0.173650861
8.000829935073853,-0.135340691,0.131581351,0.504299104,2.36E-05,6.61E-05,0.984807253,0.173650935
8.072819948196411,-0.135340691,0.131581351,0.504299104,2.35E-05,6.62E-05,0.984807253,0.173650905
8.14363980293274,-0.135340676,0.131581351,0.504299104,2.34E-05,6.61E-05,0.984807193,0.173651278
8.218369722366333,-0.135340676,0.131581381,0.504299104,2.34E-05,6.61E-05,0.984807193,0.173651516
8.287439823150635,-0.135340676,0.131581366,0.504299104,2.38E-05,6.58E-05,0.984807193,0.173651412
8.35979962348938,-0.135340676,0.131581351,0.504299104,2.39E-05,6.58E-05,0.984807134,0.173651874
8.43429970741272,-0.135340691,0.131581351,0.504299104,2.39E-05,6.59E-05,0.984807134,0.173651844
8.500199794769287,-0.135340676,0.131581351,0.504299104,2.38E-05,6.59E-05,0.984807193,0.173651293
8.563819646835327,-0.135340676,0.131581351,0.504299104,2.38E-05,6.59E-05,0.984807193,0.173651427
8.641339778900146,-0.135340676,0.131581351,0.504299104,2.38E-05,6.58E-05,0.984807134,0.173651785
8.719659566879272,-0.135340676,0.131581351,0.504299104,2.36E-05,6.57E-05,0.984807074,0.173652023
8.789689779281616,-0.135340676,0.131581351,0.504299104,2.38E-05,6.57E-05,0.984807074,0.173651949
8.860849857330322,-0.135340676,0.131581351,0.504299104,2.37E-05,6.58E-05,0.984807014,0.173652321
8.933159828186035,-0.135340676,0.131581351,0.504299104,2.37E-05,6.57E-05,0.984807014,0.173652276
9.01518988609314,-0.135340691,0.131581351,0.504299104,2.38E-05,6.57E-05,0.984807014,0.173652396
9.081649780273438,-0.135340691,0.131581366,0.504299104,2.39E-05,6.60E-05,0.984807074,0.173651949
9.15356969833374,-0.135340676,0.131581366,0.504299104,2.38E-05,6.59E-05,0.984807014,0.173652232
9.22776985168457,-0.135340691,0.131581366,0.504299104,2.33E-05,6.60E-05,0.984807014,0.173652545
9.29669976234436,-0.135340691,0.131581381,0.504299104,2.34E-05,6.58E-05,0.984807014,0.173652232
9.372929573059082,-0.135340691,0.131581381,0.504299104,2.33E-05,6.59E-05,0.984807014,0.173652232
9.444599628448486,-0.135340691,0.131581381,0.504299104,2.33E-05,6.57E-05,0.984807074,0.173652038
9.52131986618042,-0.135340691,0.131581366,0.504299104,2.33E-05,6.57E-05,0.984807074,0.173651919
9.585939884185791,-0.135340706,0.131581366,0.504299104,2.33E-05,6.55E-05,0.984807074,0.173651978
9.6664297580719,-0.135340706,0.131581366,0.504299104,2.33E-05,6.55E-05,0.984807134,0.17365171
